,node,tag,level,device,measurements,unit,asset
339,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Irradiance_POA.ITS301_Irradiance,Irradiance_POA.ITS301_Irradiance,1,ITS301,Irradiance_POA,w/m2,hawt
340,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Irradiance_POA.ITS303_Irradiance,Irradiance_POA.ITS303_Irradiance,1,ITS303,Irradiance_POA,w/m2,hawt
341,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Irradiance_POA.ITS305_Irradiance,Irradiance_POA.ITS305_Irradiance,1,ITS305,Irradiance_POA,w/m2,hawt
342,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Irradiance_POA.ITS306_Irradiance,Irradiance_POA.ITS306_Irradiance,1,ITS306,Irradiance_POA,w/m2,hawt
343,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.WS_ITS_101_Sensor_AmbientTemperature,WS_ITS_101_Sensor_AmbientTemperature,1,ITS101,AmbientTemperature,C,hawt
344,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.WS_ITS_101_Sensor_BarometricPressure,WS_ITS_101_Sensor_BarometricPressure,1,ITS101,BarometricPressure,mbar,hawt
345,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.WS_ITS_101_Sensor_DewPoint,WS_ITS_101_Sensor_DewPoint,1,ITS101,DewPoint,C,hawt
346,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.WS_ITS_101_Sensor_RelativeHumidity,WS_ITS_101_Sensor_RelativeHumidity,1,ITS101,RelativeHumidity,%,hawt
347,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.WS_ITS_101_Sensor_TotalPrecipitation,WS_ITS_101_Sensor_TotalPrecipitation,1,ITS101,TotalPrecipitation,mm,hawt
348,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.WS_ITS_101_Sensor_WindDirection,WS_ITS_101_Sensor_WindDirection,1,ITS101,WindDirection,degree,hawt
349,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.WS_ITS_101_Sensor_WindSpeed,WS_ITS_101_Sensor_WindSpeed,1,ITS101,WindSpeed,m/s,hawt
350,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.WS_ITS_201_Sensor_AmbientTemperature,WS_ITS_201_Sensor_AmbientTemperature,1,ITS201,AmbientTemperature,C,hawt
351,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.WS_ITS_201_Sensor_BarometricPressure,WS_ITS_201_Sensor_BarometricPressure,1,ITS201,BarometricPressure,mbar,hawt
352,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.WS_ITS_201_Sensor_DewPoint,WS_ITS_201_Sensor_DewPoint,1,ITS201,DewPoint,C,hawt
353,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.WS_ITS_201_Sensor_RelativeHumidity,WS_ITS_201_Sensor_RelativeHumidity,1,ITS201,RelativeHumidity,%,hawt
354,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.WS_ITS_201_Sensor_TotalPrecipitation,WS_ITS_201_Sensor_TotalPrecipitation,1,ITS201,TotalPrecipitation,mm,hawt
355,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.WS_ITS_201_Sensor_WindDirection,WS_ITS_201_Sensor_WindDirection,1,ITS201,WindDirection,degree,hawt
356,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.WS_ITS_201_Sensor_WindSpeed,WS_ITS_201_Sensor_WindSpeed,1,ITS201,WindSpeed,m/s,hawt
357,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.WS_ITS_307_Sensor_AmbientTemperature,WS_ITS_307_Sensor_AmbientTemperature,1,ITS307,AmbientTemperature,C,hawt
358,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.WS_ITS_307_Sensor_BarometricPressure,WS_ITS_307_Sensor_BarometricPressure,1,ITS307,BarometricPressure,mbar,hawt
359,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.WS_ITS_307_Sensor_DewPoint,WS_ITS_307_Sensor_DewPoint,1,ITS307,DewPoint,C,hawt
360,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.WS_ITS_307_Sensor_RelativeHumidity,WS_ITS_307_Sensor_RelativeHumidity,1,ITS307,RelativeHumidity,%,hawt
361,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.WS_ITS_307_Sensor_TotalPrecipitation,WS_ITS_307_Sensor_TotalPrecipitation,1,ITS307,TotalPrecipitation,mm,hawt
362,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.WS_ITS_307_Sensor_WindDirection,WS_ITS_307_Sensor_WindDirection,1,ITS307,WindDirection,degree,hawt
363,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.WS_ITS_307_Sensor_WindSpeed,WS_ITS_307_Sensor_WindSpeed,1,ITS307,WindSpeed,m/s,hawt
